source,testament,book
Bible,Old,Genesis
Bible,Old,Exodus
Bible,Old,Leviticus
Bible,Old,Numbers
Bible,Old,Deuteronomy
Bible,Old,Joshua
Bible,Old,Judges
Bible,Old,Ruth
Bible,Old,Samuel
Bible,Old,Kings
Bible,Old,Chronicles
Bible,Old,Ezra
Bible,Old,Nehemiah
Bible,Old,Esther
Bible,Old,Job
Bible,Old,Psalms
Bible,Old,Proverbs
Bible,Old,Ecclesiastes
Bible,Old,Solomon
Bible,Old,Isaiah
Bible,Old,Jeremiah
Bible,Old,Lamentations
Bible,Old,Ezekiel
Bible,Old,Daniel
Bible,Old,Hosea
Bible,Old,Joel
Bible,Old,Amos
Bible,Old,Obadiah
Bible,Old,Jonah
Bible,Old,Micah
Bible,Old,Nahum
Bible,Old,Habakkuk
Bible,Old,Zephaniah
Bible,Old,Haggai
Bible,Old,Zechariah
Bible,Old,Malachi
Bible,New,Matthew
Bible,New,Mark
Bible,New,Luke
Bible,New,John
Bible,New,Acts
Bible,New,Romans
Bible,New,Galatians
Bible,New,Ephesians
Bible,New,Philippians
Bible,New,Colossians
Bible,New,Titus
Bible,New,Philemon
Bible,New,Hebrews
Bible,New,James
Bible,New,Jude
Bible,New,Revelation