Year,Commenced,Pending,Terminated
1874,NA,6627,6018
1875,NA,7667,6045
1876,NA,7441,7095
1877,NA,6538,8103
1878,NA,7281,10873
1879,NA,7165,13717
1880,NA,7146,9269
1881,NA,6211,11448
1882,NA,3891,7494
1883,NA,5722,7792
1884,NA,5437,12542
1885,NA,3808,11977
1886,NA,5593,14479
1887,NA,7346,12905
1888,NA,7223,14599
1889,NA,7212,14588
1890,NA,8683,16016
1891,NA,10325,18327
1892,NA,9709,18724
1893,NA,9410,21935
1894,NA,10370,21744
1895,NA,12499,25949
1896,NA,11746,26271
1897,NA,10958,18134
1898,NA,10147,16814
1899,NA,10228,17341
1900,NA,10047,17033
1901,NA,9944,16837
1902,NA,9602,16350
1903,NA,11039,16034
1904,18488,12243,17443
1905,18900,13040,18163
1906,17435,14113,16357
1907,18332,8852,16006
1908,13345,9112,12942
1909,14505,9729,13959
1910,14864,9322,15371
1911,15047,9708,14702
1912,15953,9689,16158
1913,16753,9242,16757
1914,18399,9958,18128
1915,19868,10559,19120
1916,20243,10668,20432
1917,19628,12649,17671
1918,35096,16787,30949
1919,47443,28617,35734
1920,55587,49924,34230
1921,54487,56782,47299
1922,60722,64609,53155
1923,71077,67263,68152
1924,70168,63300,73488
1925,76136,46812,92711
1926,68582,38051,76536
1927,64614,35341,67279
1928,83372,30480,88336
1929,86348,31153,85328
1930,87305,35849,82609
1931,83747,27895,91701
1932,92174,23120,96949
1933,82675,20903,84780
1934,34152,9478,45577
1935,35365,23057,33211
1936,35920,11007,36396
1937,35475,11021,35461
1938,34202,10899,34324
1939,34808,10012,35095
1940,33401,9553,33861
1941,31823,9169,32207
1942,33294,11385,31114
1943,36588,11728,36245
1944,39621,10943,40406
1945,39429,11017,39355
1946,33203,9005,35215
1947,34563,8124,35444
1948,33300,7851,33573
1949,35686,7875,35662
1950,37720,8181,37414
1951,39830,7701,40310
1952,39022,8794,37929
1953,38504,9518,37780
1954,43196,10100,42614
1955,37123,8643,38580
1956,30653,7243,32053
1957,30078,7495,29826
1958,30737,7451,30781
1959,30653,7727,30377
1960,29828,7691,29864
1961,30268,8078,29881
1962,31017,9082,30013
1963,31746,9282,31546
1964,31733,9578,31437
1965,33334,10834,32078
1966,31494,11684,30644
1967,32207,13541,30350
1968,32571,14763,31349
1969,35413,17770,32406
1970,39959,20910,36819
1971,43157,24485,39582
1972,49054,25438,48101
1973,42434,24416,43456
1974,39754,22644,41526
1975,43282,22411,43515
1976,41020,19756,43675
1977,41464,17150,44111
1978,35983,15878,37286
1979,32688,15135,31874
1980,28921,14784,28089
1981,31287,15866,30221
1982,32682,16659,31889
1983,35872,18587,33985
1984,36845,19938,35494
1985,39500,22299,37139
1986,40427,24453,38380
1987,42156,25263,41087
1988,43503,27311,40986
1989,44891,30413,41707
1990,47411,35021,42765
1991,45735,37968,42788
1992,48366,34078,44147
1993,46786,28701,44800
1994,45473,26328,45129
1995,45788,28738,41527
1996,47889,32156,45499
1997,50363,37237,46887
1998,57691,40277,51428
1999,59923,42966,56511
2000,62745,47677,58102
2001,62708,49696,58718
2002,66128,55518,60991
2003,70642,59218,65628
2004,71022,65900,64621
2005,69575,69932,66561
2006,66860,71916,67499
2007,68413,73418,67851
2008,70896,75340,70629
2009,76655,79068,75077
2010,78428,81079,78069
2011,78440,79680,79839
2012,71303,76493,74308
2013,68918,76627,69279
2014,62722,73838,64985
2015,61202,72059,61555